"item1","item2","correlation","topic","k"
"mobil","phone",0.679729762667838,1,6
"phone","mobil",0.679729762667838,1,6
"softwar","comput",0.399835255565532,1,6
"comput","softwar",0.399835255565532,1,6
"user","softwar",0.36813082276265,1,6
"softwar","user",0.36813082276265,1,6
"user","comput",0.367116372090599,1,6
"comput","user",0.367116372090599,1,6
"user","net",0.360123243142826,1,6
"net","user",0.360123243142826,1,6
"technolog","user",0.329862285580773,1,6
"user","technolog",0.329862285580773,1,6
"technolog","comput",0.29177594602202,1,6
"comput","technolog",0.29177594602202,1,6
"mobil","technolog",0.283687827461274,1,6
"technolog","mobil",0.283687827461274,1,6
"phone","network",0.273600561371804,1,6
"network","phone",0.273600561371804,1,6
"mobil","network",0.260268872876636,1,6
"network","mobil",0.260268872876636,1,6
"technolog","network",0.25616171378473,1,6
"network","technolog",0.25616171378473,1,6
"network","comput",0.241729373585023,1,6
"comput","network",0.241729373585023,1,6
"technolog","phone",0.226575234561303,1,6
"phone","technolog",0.226575234561303,1,6
"technolog","softwar",0.210544230639517,1,6
"softwar","technolog",0.210544230639517,1,6
"user","network",0.206856576817044,1,6
"network","user",0.206856576817044,1,6
"net","softwar",0.203146439063453,1,6
"softwar","net",0.203146439063453,1,6
"softwar","network",0.185602234667419,1,6
"network","softwar",0.185602234667419,1,6
"mobil","user",0.184801023478904,1,6
"user","mobil",0.184801023478904,1,6
"phone","servic",0.180869786793416,1,6
"servic","phone",0.180869786793416,1,6
"user","servic",0.177369247890433,1,6
"servic","user",0.177369247890433,1,6
"technolog","net",0.175435779090927,1,6
"net","technolog",0.175435779090927,1,6
"net","comput",0.1696084257592,1,6
"comput","net",0.1696084257592,1,6
"phone","user",0.163936312170216,1,6
"user","phone",0.163936312170216,1,6
"servic","network",0.14999449759445,1,6
"network","servic",0.14999449759445,1,6
"net","network",0.149007422018946,1,6
"network","net",0.149007422018946,1,6
"mobil","servic",0.147834383155105,1,6
"servic","mobil",0.147834383155105,1,6
"servic","net",0.139338237036898,1,6
"net","servic",0.139338237036898,1,6
"technolog","servic",0.114078973128338,1,6
"servic","technolog",0.114078973128338,1,6
"servic","softwar",0.105518264048068,1,6
"softwar","servic",0.105518264048068,1,6
"phone","net",0.104080498806988,1,6
"net","phone",0.104080498806988,1,6
"user","peopl",0.097583713847042,1,6
"peopl","user",0.097583713847042,1,6
"phone","comput",0.0923974301811481,1,6
"comput","phone",0.0923974301811481,1,6
"mobil","softwar",0.0854756782033953,1,6
"softwar","mobil",0.0854756782033953,1,6
"mobil","net",0.0852787282693448,1,6
"net","mobil",0.0852787282693448,1,6
"servic","comput",0.07413437404913,1,6
"comput","servic",0.07413437404913,1,6
"mobil","comput",0.070239934152024,1,6
"comput","mobil",0.070239934152024,1,6
"phone","softwar",0.0450925145666783,1,6
"softwar","phone",0.0450925145666783,1,6
"mobil","peopl",-0.014597104949006,1,6
"peopl","mobil",-0.014597104949006,1,6
"technolog","peopl",-0.0155957274961967,1,6
"peopl","technolog",-0.0155957274961967,1,6
"softwar","peopl",-0.0210508627620692,1,6
"peopl","softwar",-0.0210508627620692,1,6
"phone","peopl",-0.0251498667605648,1,6
"peopl","phone",-0.0251498667605648,1,6
"comput","peopl",-0.0270079407195896,1,6
"peopl","comput",-0.0270079407195896,1,6
"network","peopl",-0.079845997664188,1,6
"peopl","network",-0.079845997664188,1,6
"net","peopl",-0.0815978939723242,1,6
"peopl","net",-0.0815978939723242,1,6
"servic","peopl",-0.186884385062268,1,6
"peopl","servic",-0.186884385062268,1,6
"growth","economi",0.435818044399547,2,6
"economi","growth",0.435818044399547,2,6
"firm","compani",0.33178803256177,2,6
"compani","firm",0.33178803256177,2,6
"rate","growth",0.330349596250616,2,6
"growth","rate",0.330349596250616,2,6
"rate","economi",0.312611327943576,2,6
"economi","rate",0.312611327943576,2,6
"bank","growth",0.24176860623408,2,6
