"item1","item2","correlation","topic","k"
"mobil","phone",0.680933799316497,1,12
"phone","mobil",0.680933799316497,1,12
"digit","technolog",0.427116427468581,1,12
"technolog","digit",0.427116427468581,1,12
"digit","mobil",0.308856191195352,1,12
"mobil","digit",0.308856191195352,1,12
"digit","broadband",0.308685614274691,1,12
"broadband","digit",0.308685614274691,1,12
"download","digit",0.290438368161689,1,12
"digit","download",0.290438368161689,1,12
"mobil","technolog",0.287235656444378,1,12
"technolog","mobil",0.287235656444378,1,12
"broadband","technolog",0.282223538807319,1,12
"technolog","broadband",0.282223538807319,1,12
"phone","network",0.276789460870154,1,12
"network","phone",0.276789460870154,1,12
"digit","phone",0.268803694910603,1,12
"phone","digit",0.268803694910603,1,12
"mobil","network",0.263256035878879,1,12
"network","mobil",0.263256035878879,1,12
"technolog","network",0.260524677082636,1,12
"network","technolog",0.260524677082636,1,12
"download","technolog",0.258240832020516,1,12
"technolog","download",0.258240832020516,1,12
"download","music",0.25246356797916,1,12
"music","download",0.25246356797916,1,12
"digit","music",0.247819469894192,1,12
"music","digit",0.247819469894192,1,12
"broadband","network",0.234795644989659,1,12
"network","broadband",0.234795644989659,1,12
"technolog","phone",0.23079408004053,1,12
"phone","technolog",0.23079408004053,1,12
"download","mobil",0.214300632775976,1,12
"mobil","download",0.214300632775976,1,12
"download","phone",0.21003711433416,1,12
"phone","download",0.21003711433416,1,12
"broadband","servic",0.209673935673604,1,12
"servic","broadband",0.209673935673604,1,12
"digit","network",0.202126714599304,1,12
"network","digit",0.202126714599304,1,12
"download","network",0.192461509895395,1,12
"network","download",0.192461509895395,1,12
"download","broadband",0.187388455273053,1,12
"broadband","download",0.187388455273053,1,12
"phone","servic",0.18652529431275,1,12
"servic","phone",0.18652529431275,1,12
"broadband","phone",0.163881305566546,1,12
"phone","broadband",0.163881305566546,1,12
"servic","network",0.156369044629148,1,12
"network","servic",0.156369044629148,1,12
"mobil","servic",0.15325556900259,1,12
"servic","mobil",0.15325556900259,1,12
"digit","servic",0.135887323307849,1,12
"servic","digit",0.135887323307849,1,12
"download","servic",0.13162916199843,1,12
"servic","download",0.13162916199843,1,12
"technolog","servic",0.122584371988902,1,12
"servic","technolog",0.122584371988902,1,12
"broadband","mobil",0.120677436802827,1,12
"mobil","broadband",0.120677436802827,1,12
"music","mobil",0.0975070688034296,1,12
"mobil","music",0.0975070688034296,1,12
"music","broadband",0.0824456824927546,1,12
"broadband","music",0.0824456824927546,1,12
"music","technolog",0.0572008106620358,1,12
"technolog","music",0.0572008106620358,1,12
"broadband","peopl",0.053338813698803,1,12
"peopl","broadband",0.053338813698803,1,12
"download","peopl",0.049128578625922,1,12
"peopl","download",0.049128578625922,1,12
"music","phone",0.0331956562951314,1,12
"phone","music",0.0331956562951314,1,12
"digit","peopl",0.0260029762108339,1,12
"peopl","digit",0.0260029762108339,1,12
"music","network",0.0238733169585843,1,12
"network","music",0.0238733169585843,1,12
"technolog","peopl",0.00561687481612774,1,12
