"item1","item2","correlation","topic","k"
"mobil","phone",0.689294385864012,1,8
"phone","mobil",0.689294385864012,1,8
"digit","technolog",0.450383375425111,1,8
"technolog","digit",0.450383375425111,1,8
"digit","mobil",0.32854557935893,1,8
"mobil","digit",0.32854557935893,1,8
"mobil","technolog",0.311573990960895,1,8
"technolog","mobil",0.311573990960895,1,8
"phone","network",0.298821985329294,1,8
"network","phone",0.298821985329294,1,8
"digit","phone",0.291438420935874,1,8
"phone","digit",0.291438420935874,1,8
"technolog","network",0.290286635196455,1,8
"network","technolog",0.290286635196455,1,8
"mobil","network",0.283947016532672,1,8
"network","mobil",0.283947016532672,1,8
"digit","music",0.279476526294673,1,8
"music","digit",0.279476526294673,1,8
"video","technolog",0.275478939619976,1,8
"technolog","video",0.275478939619976,1,8
"digit","video",0.266816518109227,1,8
"video","digit",0.266816518109227,1,8
"technolog","phone",0.259646592305903,1,8
"phone","technolog",0.259646592305903,1,8
"digit","network",0.228555718822219,1,8
"network","digit",0.228555718822219,1,8
"phone","servic",0.224523821420428,1,8
"servic","phone",0.224523821420428,1,8
"mobil","video",0.204264136626729,1,8
"video","mobil",0.204264136626729,1,8
"servic","network",0.199061437079172,1,8
"network","servic",0.199061437079172,1,8
"mobil","servic",0.189767410575935,1,8
"servic","mobil",0.189767410575935,1,8
"digit","servic",0.18054403856482,1,8
"servic","digit",0.18054403856482,1,8
"technolog","servic",0.178875157712827,1,8
"servic","technolog",0.178875157712827,1,8
"music","video",0.165639400525417,1,8
"video","music",0.165639400525417,1,8
"video","phone",0.16115089257572,1,8
"phone","video",0.16115089257572,1,8
"video","network",0.158645325430395,1,8
"network","video",0.158645325430395,1,8
"music","mobil",0.129852087482221,1,8
"mobil","music",0.129852087482221,1,8
"technolog","peopl",0.126116322091743,1,8
"peopl","technolog",0.126116322091743,1,8
"video","game",0.122008743741087,1,8
"game","video",0.122008743741087,1,8
"digit","peopl",0.120626911836558,1,8
"peopl","digit",0.120626911836558,1,8
"music","technolog",0.106303666877875,1,8
"technolog","music",0.106303666877875,1,8
"mobil","peopl",0.0843825383288987,1,8
"peopl","mobil",0.0843825383288987,1,8
"phone","peopl",0.0837678056511678,1,8
"peopl","phone",0.0837678056511678,1,8
"music","phone",0.0709354391765973,1,8
"phone","music",0.0709354391765973,1,8
"music","network",0.064635317068237,1,8
"network","music",0.064635317068237,1,8
"video","servic",0.0516967754278672,1,8
"servic","video",0.0516967754278672,1,8
"network","peopl",0.0471093233452336,1,8
"peopl","network",0.0471093233452336,1,8
"video","peopl",0.0321339715210832,1,8
"peopl","video",0.0321339715210832,1,8
"servic","peopl",0.0309461784942566,1,8
"peopl","servic",0.0309461784942566,1,8
"digit","game",-0.020125594153659,1,8
"game","digit",-0.020125594153659,1,8
"music","peopl",-0.0209582690126633,1,8
"peopl","music",-0.0209582690126633,1,8
"mobil","game",-0.0275234954846254,1,8
"game","mobil",-0.0275234954846254,1,8
"music","servic",-0.0454086447264028,1,8
"servic","music",-0.0454086447264028,1,8
"music","game",-0.0570045741710432,1,8
"game","music",-0.0570045741710432,1,8
"game","phone",-0.0717760771286808,1,8
"phone","game",-0.0717760771286808,1,8
"game","technolog",-0.0904261265631873,1,8
"technolog","game",-0.0904261265631873,1,8
"game","network",-0.128873456773441,1,8
"network","game",-0.128873456773441,1,8
"game","servic",-0.254515108890141,1,8
"servic","game",-0.254515108890141,1,8
"game","peopl",-0.371869839835756,1,8
"peopl","game",-0.371869839835756,1,8
"economi","econom",0.516964929371133,2,8
"econom","economi",0.516964929371133,2,8
"growth","economi",0.426177118428672,2,8
"economi","growth",0.426177118428672,2,8
"growth","econom",0.3798237189687,2,8
"econom","growth",0.3798237189687,2,8
"rate","growth",0.318408653268767,2,8
"growth","rate",0.318408653268767,2,8
"rate","economi",0.301313560185756,2,8
"economi","rate",0.301313560185756,2,8
"rate","econom",0.295979619308855,2,8
"econom","rate",0.295979619308855,2,8
"bank","growth",0.229393963199903,2,8
"growth","bank",0.229393963199903,2,8
"rise","growth",0.224339832358313,2,8
"growth","rise",0.224339832358313,2,8
"bank","econom",0.222325964655485,2,8
"econom","bank",0.222325964655485,2,8
"rise","rate",0.221166059493976,2,8
"rate","rise",0.221166059493976,2,8
"bank","economi",0.219582747178165,2,8
"economi","bank",0.219582747178165,2,8
"rise","economi",0.200658244420182,2,8
"economi","rise",0.200658244420182,2,8
"rise","econom",0.189998930882767,2,8
"econom","rise",0.189998930882767,2,8
"market","growth",0.178344134083021,2,8
"growth","market",0.178344134083021,2,8
"price","rise",0.17443907488269,2,8
"rise","price",0.17443907488269,2,8
"bank","rate",0.17138622742536,2,8
"rate","bank",0.17138622742536,2,8
"rise","increas",0.166171757913414,2,8
"increas","rise",0.166171757913414,2,8
"price","growth",0.155447089584583,2,8
"growth","price",0.155447089584583,2,8
"price","market",0.150524257359724,2,8
"market","price",0.150524257359724,2,8
"rise","bank",0.131441000349992,2,8
"bank","rise",0.131441000349992,2,8
"price","economi",0.130045830144483,2,8
"economi","price",0.130045830144483,2,8
"increas","economi",0.129528398305139,2,8
"economi","increas",0.129528398305139,2,8
"price","rate",0.122323937233643,2,8
"rate","price",0.122323937233643,2,8
"increas","growth",0.120446459362272,2,8
"growth","increas",0.120446459362272,2,8
"rate","increas",0.116206868236789,2,8
"increas","rate",0.116206868236789,2,8
"market","bank",0.107584617704285,2,8
"bank","market",0.107584617704285,2,8
"increas","econom",0.0943079591329714,2,8
"econom","increas",0.0943079591329714,2,8
"market","econom",0.0855396838371531,2,8
"econom","market",0.0855396838371531,2,8
"market","rate",0.0688811078658176,2,8
"rate","market",0.0688811078658176,2,8
"price","econom",0.061343918118717,2,8
"econom","price",0.061343918118717,2,8
"price","bank",0.0608208811762972,2,8
"bank","price",0.0608208811762972,2,8
"month","growth",0.059755938669864,2,8
"growth","month",0.059755938669864,2,8
"market","economi",0.0569625191956602,2,8
"economi","market",0.0569625191956602,2,8
"rise","market",0.0490585256460031,2,8
"market","rise",0.0490585256460031,2,8
"price","increas",0.02276785130168,2,8
"increas","price",0.02276785130168,2,8
"market","increas",0.00163086188892297,2,8
"increas","market",0.00163086188892297,2,8
"bank","increas",-0.00319504894356287,2,8
"increas","bank",-0.00319504894356287,2,8
"rise","month",-0.00346989133612184,2,8
"month","rise",-0.00346989133612184,2,8
"bank","month",-0.0129894820611107,2,8
"month","bank",-0.0129894820611107,2,8
"rate","month",-0.0136346935900715,2,8
"month","rate",-0.0136346935900715,2,8
"month","econom",-0.0291152151718168,2,8
"econom","month",-0.0291152151718168,2,8
"price","month",-0.030254523055742,2,8
"month","price",-0.030254523055742,2,8
"month","economi",-0.0318928183788224,2,8
"economi","month",-0.0318928183788224,2,8
"month","increas",-0.102058333799582,2,8
"increas","month",-0.102058333799582,2,8
"market","month",-0.130922461516191,2,8
"month","market",-0.130922461516191,2,8
"yuko","oil",0.459417114294176,3,8
"oil","yuko",0.459417114294176,3,8
"firm","compani",0.311967529083175,3,8
"compani","firm",0.311967529083175,3,8
"share","market",0.183922167025633,3,8
"market","share",0.183922167025633,3,8
"yuko","sale",0.176892918040461,3,8
"sale","yuko",0.176892918040461,3,8
"yuko","compani",0.164667970248872,3,8
"compani","yuko",0.164667970248872,3,8
"yuko","firm",0.138390773460411,3,8
"firm","yuko",0.138390773460411,3,8
"firm","share",0.107756534722731,3,8
"share","firm",0.107756534722731,3,8
"yuko","bid",0.105504176764687,3,8
"bid","yuko",0.105504176764687,3,8
"market","sale",0.103558045049112,3,8
"sale","market",0.103558045049112,3,8
"bid","deal",0.103213218713234,3,8
"deal","bid",0.103213218713234,3,8
"compani","share",0.100973355693422,3,8
"share","compani",0.100973355693422,3,8
"firm","market",0.0776685842333987,3,8
"market","firm",0.0776685842333987,3,8
"share","sale",0.0747682643056545,3,8
"sale","share",0.0747682643056545,3,8
"oil","compani",0.0672242603670432,3,8
"compani","oil",0.0672242603670432,3,8
"yuko","deal",0.0633372819316188,3,8
"deal","yuko",0.0633372819316188,3,8
"bid","share",0.060398640780794,3,8
"share","bid",0.060398640780794,3,8
"compani","market",0.0504494177532035,3,8
"market","compani",0.0504494177532035,3,8
"compani","sale",0.0462702590947136,3,8
"sale","compani",0.0462702590947136,3,8
"oil","sale",0.033140227613983,3,8
"sale","oil",0.033140227613983,3,8
"oil","market",0.0307521978476069,3,8
"market","oil",0.0307521978476069,3,8
"oil","firm",0.0305776430983579,3,8
"firm","oil",0.0305776430983579,3,8
"bid","firm",0.00232686139712033,3,8
"firm","bid",0.00232686139712033,3,8
"oil","bid",0.000138946611029373,3,8
"bid","oil",0.000138946611029373,3,8
"deal","share",0.000104958558770972,3,8
"share","deal",0.000104958558770972,3,8
"yuko","market",-0.00304167904198807,3,8
"market","yuko",-0.00304167904198807,3,8
"oil","deal",-0.00605105219635918,3,8
"deal","oil",-0.00605105219635918,3,8
"olymp","bid",-0.0119062259108545,3,8
"bid","olymp",-0.0119062259108545,3,8
"yuko","share",-0.0189505688801351,3,8
"share","yuko",-0.0189505688801351,3,8
"deal","firm",-0.0196536716832507,3,8
"firm","deal",-0.0196536716832507,3,8
"oil","share",-0.0224633332343834,3,8
"share","oil",-0.0224633332343834,3,8
"bid","market",-0.0318100051615723,3,8
"market","bid",-0.0318100051615723,3,8
"bid","compani",-0.0325824688238541,3,8
"compani","bid",-0.0325824688238541,3,8
"olymp","yuko",-0.0411575588252805,3,8
"yuko","olymp",-0.0411575588252805,3,8
"firm","sale",-0.0460474800198447,3,8
"sale","firm",-0.0460474800198447,3,8
"bid","sale",-0.0483148586197532,3,8
"sale","bid",-0.0483148586197532,3,8
"deal","compani",-0.0542241639523224,3,8
"compani","deal",-0.0542241639523224,3,8
"deal","market",-0.0621453044406475,3,8
"market","deal",-0.0621453044406475,3,8
"olymp","oil",-0.0752754518722029,3,8
"oil","olymp",-0.0752754518722029,3,8
"deal","sale",-0.0838349233297648,3,8
"sale","deal",-0.0838349233297648,3,8
"olymp","deal",-0.123443228976816,3,8
"deal","olymp",-0.123443228976816,3,8
"olymp","share",-0.130101696311261,3,8
"share","olymp",-0.130101696311261,3,8
"olymp","sale",-0.156585456911097,3,8
"sale","olymp",-0.156585456911097,3,8
"olymp","market",-0.165305093969844,3,8
"market","olymp",-0.165305093969844,3,8
"olymp","firm",-0.173866795643891,3,8
"firm","olymp",-0.173866795643891,3,8
"olymp","compani",-0.179562313109182,3,8
"compani","olymp",-0.179562313109182,3,8
"tori","labour",0.54884093706562,4,8
"labour","tori",0.54884093706562,4,8
"labour","elect",0.546230061570947,4,8
"elect","labour",0.546230061570947,4,8
"tori","howard",0.505118134838071,4,8
"howard","tori",0.505118134838071,4,8
"labour","parti",0.500393629171671,4,8
"parti","labour",0.500393629171671,4,8
"parti","elect",0.470558070228396,4,8
"elect","parti",0.470558070228396,4,8
"tori","parti",0.459662627651852,4,8
"parti","tori",0.459662627651852,4,8
"tori","elect",0.456071296406065,4,8
"elect","tori",0.456071296406065,4,8
"labour","blair",0.438005402761215,4,8
"blair","labour",0.438005402761215,4,8
"tori","blair",0.410809435296337,4,8
"blair","tori",0.410809435296337,4,8
"elect","blair",0.405885956323163,4,8
"blair","elect",0.405885956323163,4,8
"minist","blair",0.398772712297599,4,8
"blair","minist",0.398772712297599,4,8
"howard","labour",0.371122455908585,4,8
"labour","howard",0.371122455908585,4,8
"howard","blair",0.35538964649088,4,8
"blair","howard",0.35538964649088,4,8
"howard","elect",0.294356586214358,4,8
"elect","howard",0.294356586214358,4,8
"labour","brown",0.29274479000488,4,8
"brown","labour",0.29274479000488,4,8
"brown","blair",0.292375019180192,4,8
"blair","brown",0.292375019180192,4,8
"labour","minist",0.291224459220917,4,8
"minist","labour",0.291224459220917,4,8
"howard","parti",0.290555774253532,4,8
"parti","howard",0.290555774253532,4,8
"tori","minist",0.287246944357125,4,8
"minist","tori",0.287246944357125,4,8
"minist","elect",0.281448493460215,4,8
"elect","minist",0.281448493460215,4,8
"parti","blair",0.278741608205248,4,8
"blair","parti",0.278741608205248,4,8
"elect","brown",0.270542367369982,4,8
"brown","elect",0.270542367369982,4,8
"elect","tax",0.247288993306233,4,8
"tax","elect",0.247288993306233,4,8
"tori","tax",0.231072146777959,4,8
"tax","tori",0.231072146777959,4,8
"labour","tax",0.214061519641802,4,8
"tax","labour",0.214061519641802,4,8
"tori","brown",0.205868568018883,4,8
"brown","tori",0.205868568018883,4,8
"minist","brown",0.19455122321572,4,8
"brown","minist",0.19455122321572,4,8
"parti","minist",0.184685688137355,4,8
"minist","parti",0.184685688137355,4,8
"brown","tax",0.180974804045337,4,8
"tax","brown",0.180974804045337,4,8
"parti","brown",0.169332070328603,4,8
"brown","parti",0.169332070328603,4,8
"parti","tax",0.159099025766973,4,8
"tax","parti",0.159099025766973,4,8
"howard","tax",0.125923393789162,4,8
"tax","howard",0.125923393789162,4,8
"howard","minist",0.124432400485567,4,8
"minist","howard",0.124432400485567,4,8
"howard","brown",0.110695472395963,4,8
"brown","howard",0.110695472395963,4,8
"blair","tax",0.0746652039370755,4,8
"tax","blair",0.0746652039370755,4,8
"minist","tax",0.031397608136577,4,8
"tax","minist",0.031397608136577,4,8
"tori","peopl",-0.0396847840287188,4,8
"peopl","tori",-0.0396847840287188,4,8
"parti","peopl",-0.0713384844377675,4,8
"peopl","parti",-0.0713384844377675,4,8
"elect","peopl",-0.0815922462014989,4,8
"peopl","elect",-0.0815922462014989,4,8
"labour","peopl",-0.085342705430513,4,8
"peopl","labour",-0.085342705430513,4,8
"howard","peopl",-0.0938029032911906,4,8
"peopl","howard",-0.0938029032911906,4,8
"blair","peopl",-0.0972118059464665,4,8
"peopl","blair",-0.0972118059464665,4,8
"brown","peopl",-0.151479779651021,4,8
"peopl","brown",-0.151479779651021,4,8
"tax","peopl",-0.179205186387152,4,8
"peopl","tax",-0.179205186387152,4,8
"minist","peopl",-0.258990561132298,4,8
"peopl","minist",-0.258990561132298,4,8
"minist","govern",0.421516678895759,5,8
"govern","minist",0.421516678895759,5,8
"rule","law",0.208832378625343,5,8
"law","rule",0.208832378625343,5,8
"lord","law",0.206420211557798,5,8
"law","lord",0.206420211557798,5,8
"minist","plan",0.196193079776002,5,8
"plan","minist",0.196193079776002,5,8
"court","law",0.183211492179368,5,8
"law","court",0.183211492179368,5,8
"law","govern",0.179183649995392,5,8
"govern","law",0.179183649995392,5,8
"court","rule",0.175719339055477,5,8
"rule","court",0.175719339055477,5,8
"lord","minist",0.162885738847812,5,8
"minist","lord",0.162885738847812,5,8
"plan","govern",0.159725315179381,5,8
"govern","plan",0.159725315179381,5,8
"lord","rule",0.142695843666999,5,8
"rule","lord",0.142695843666999,5,8
"polic","law",0.141188747962916,5,8
"law","polic",0.141188747962916,5,8
"minist","countri",0.123297748624587,5,8
"countri","minist",0.123297748624587,5,8
"lord","govern",0.113024855525253,5,8
"govern","lord",0.113024855525253,5,8
"rule","govern",0.112624740721012,5,8
"govern","rule",0.112624740721012,5,8
"lord","court",0.111014090820136,5,8
"court","lord",0.111014090820136,5,8
"minist","law",0.110408019164036,5,8
"law","minist",0.110408019164036,5,8
"countri","govern",0.0969948944128079,5,8
"govern","countri",0.0969948944128079,5,8
"polic","minist",0.0905965262239669,5,8
"minist","polic",0.0905965262239669,5,8
"polic","lord",0.0894194041252865,5,8
"lord","polic",0.0894194041252865,5,8
"plan","law",0.0764758896767338,5,8
"law","plan",0.0764758896767338,5,8
"polic","court",0.0734261039230402,5,8
"court","polic",0.0734261039230402,5,8
"polic","govern",0.0697264614041152,5,8
"govern","polic",0.0697264614041152,5,8
"countri","plan",0.0495807001236294,5,8
"plan","countri",0.0495807001236294,5,8
"polic","peopl",0.0356832668771843,5,8
"peopl","polic",0.0356832668771843,5,8
"polic","plan",0.0246217033466664,5,8
"plan","polic",0.0246217033466664,5,8
"court","govern",0.0144200341598513,5,8
"govern","court",0.0144200341598513,5,8
"lord","plan",0.0137431685155337,5,8
"plan","lord",0.0137431685155337,5,8
"polic","rule",0.00846574730012162,5,8
"rule","polic",0.00846574730012162,5,8
"rule","minist",0.00638994813883431,5,8
"minist","rule",0.00638994813883431,5,8
"lord","peopl",0.000354404342719871,5,8
"peopl","lord",0.000354404342719871,5,8
"lord","countri",-0.0135549266343001,5,8
"countri","lord",-0.0135549266343001,5,8
"polic","countri",-0.0252341855494562,5,8
"countri","polic",-0.0252341855494562,5,8
"countri","law",-0.0298154684236226,5,8
"law","countri",-0.0298154684236226,5,8
"peopl","govern",-0.0325020812076777,5,8
"govern","peopl",-0.0325020812076777,5,8
"court","minist",-0.033101562852338,5,8
"minist","court",-0.033101562852338,5,8
"peopl","law",-0.0348728867685635,5,8
"law","peopl",-0.0348728867685635,5,8
"rule","plan",-0.0414198899776474,5,8
"plan","rule",-0.0414198899776474,5,8
"minist","peopl",-0.0448698185541341,5,8
"peopl","minist",-0.0448698185541341,5,8
"rule","countri",-0.0483309489553111,5,8
"countri","rule",-0.0483309489553111,5,8
"plan","peopl",-0.0618899349348843,5,8
"peopl","plan",-0.0618899349348843,5,8
"countri","peopl",-0.066911200589711,5,8
"peopl","countri",-0.066911200589711,5,8
"court","plan",-0.0766981078244996,5,8
"plan","court",-0.0766981078244996,5,8
"court","countri",-0.105035676495783,5,8
"countri","court",-0.105035676495783,5,8
"court","peopl",-0.136331569010634,5,8
"peopl","court",-0.136331569010634,5,8
"rule","peopl",-0.142582686112737,5,8
"peopl","rule",-0.142582686112737,5,8
"game","player",0.365301335436523,6,8
"player","game",0.365301335436523,6,8
"match","game",0.32252008394573,6,8
"game","match",0.32252008394573,6,8
"game","play",0.305970540829972,6,8
"play","game",0.305970540829972,6,8
"player","play",0.30114688142432,6,8
"play","player",0.30114688142432,6,8
"game","team",0.24727136264278,6,8
"team","game",0.24727136264278,6,8
"match","play",0.232895911159966,6,8
"play","match",0.232895911159966,6,8
"match","win",0.216870963600915,6,8
"win","match",0.216870963600915,6,8
"club","player",0.215420199753282,6,8
"player","club",0.215420199753282,6,8
"match","player",0.213648376369708,6,8
"player","match",0.213648376369708,6,8
"player","team",0.206756212175222,6,8
"team","player",0.206756212175222,6,8
"win","final",0.188526115636272,6,8
"final","win",0.188526115636272,6,8
"match","team",0.183663677248013,6,8
"team","match",0.183663677248013,6,8
"win","game",0.172409472656638,6,8
"game","win",0.172409472656638,6,8
"match","final",0.172400062298941,6,8
"final","match",0.172400062298941,6,8
"match","england",0.17025372664789,6,8
"england","match",0.17025372664789,6,8
"club","team",0.167905750015841,6,8
"team","club",0.167905750015841,6,8
"win","play",0.15751460264856,6,8
"play","win",0.15751460264856,6,8
"england","team",0.1495281401741,6,8
"team","england",0.1495281401741,6,8
"win","team",0.141593250450771,6,8
"team","win",0.141593250450771,6,8
"england","club",0.137398277170332,6,8
"club","england",0.137398277170332,6,8
"play","team",0.136281688875196,6,8
"team","play",0.136281688875196,6,8
"match","club",0.12688271918727,6,8
"club","match",0.12688271918727,6,8
"win","player",0.121034481442706,6,8
"player","win",0.121034481442706,6,8
"england","player",0.11686934335759,6,8
"player","england",0.11686934335759,6,8
"club","play",0.115634277902709,6,8
"play","club",0.115634277902709,6,8
"club","game",0.104461390363326,6,8
"game","club",0.104461390363326,6,8
"england","game",0.102264489870425,6,8
"game","england",0.102264489870425,6,8
"game","final",0.0914508046398452,6,8
"final","game",0.0914508046398452,6,8
"play","final",0.0787273350605483,6,8
"final","play",0.0787273350605483,6,8
"england","play",0.0773278434049914,6,8
"play","england",0.0773278434049914,6,8
"team","final",0.0652178596290682,6,8
"final","team",0.0652178596290682,6,8
"player","final",0.0531607927173334,6,8
"final","player",0.0531607927173334,6,8
"win","england",0.0531107137285092,6,8
"england","win",0.0531107137285092,6,8
"club","final",-0.00572263138830159,6,8
"final","club",-0.00572263138830159,6,8
"england","final",-0.00906583301908674,6,8
"final","england",-0.00906583301908674,6,8
"final","time",-0.0282378281528138,6,8
"time","final",-0.0282378281528138,6,8
"win","club",-0.0318750569320837,6,8
"club","win",-0.0318750569320837,6,8
"game","time",-0.0330362817335089,6,8
"time","game",-0.0330362817335089,6,8
"match","time",-0.0397045162137638,6,8
"time","match",-0.0397045162137638,6,8
"club","time",-0.0508639913551281,6,8
"time","club",-0.0508639913551281,6,8
"team","time",-0.0509023197744392,6,8
"time","team",-0.0509023197744392,6,8
"player","time",-0.0651297184458052,6,8
"time","player",-0.0651297184458052,6,8
"win","time",-0.0666630210383486,6,8
"time","win",-0.0666630210383486,6,8
"england","time",-0.080952553694503,6,8
"time","england",-0.080952553694503,6,8
"play","time",-0.13910586378656,6,8
"time","play",-0.13910586378656,6,8
"nomin","award",0.521442127516688,7,8
"award","nomin",0.521442127516688,7,8
"actor","nomin",0.433910860410736,7,8
"nomin","actor",0.433910860410736,7,8
"actor","film",0.428782890547349,7,8
"film","actor",0.428782890547349,7,8
"actor","star",0.41735508077684,7,8
"star","actor",0.41735508077684,7,8
"star","film",0.382011016375318,7,8
"film","star",0.382011016375318,7,8
"actor","award",0.375743592993172,7,8
"award","actor",0.375743592993172,7,8
"film","award",0.316455859919708,7,8
"award","film",0.316455859919708,7,8
"nomin","film",0.306197916302194,7,8
"film","nomin",0.306197916302194,7,8
"star","award",0.304520404300001,7,8
"award","star",0.304520404300001,7,8
"award","won",0.272406403252546,7,8
"won","award",0.272406403252546,7,8
"nomin","star",0.269687794610654,7,8
"star","nomin",0.269687794610654,7,8
"nomin","won",0.199931287632216,7,8
"won","nomin",0.199931287632216,7,8
"music","award",0.170931372064235,7,8
"award","music",0.170931372064235,7,8
"actor","won",0.129305647603956,7,8
"won","actor",0.129305647603956,7,8
"nomin","music",0.109225163303751,7,8
"music","nomin",0.109225163303751,7,8
"music","film",0.103046355533468,7,8
"film","music",0.103046355533468,7,8
"award","includ",0.0998137488480514,7,8
"includ","award",0.0998137488480514,7,8
"actor","includ",0.0993620548221542,7,8
"includ","actor",0.0993620548221542,7,8
"nomin","includ",0.0955377229091125,7,8
"includ","nomin",0.0955377229091125,7,8
"music","star",0.0883300818356868,7,8
"star","music",0.0883300818356868,7,8
"actor","play",0.0682008409224001,7,8
"play","actor",0.0682008409224001,7,8
"star","won",0.0676024705819619,7,8
"won","star",0.0676024705819619,7,8
"award","top",0.056947128700801,7,8
"top","award",0.056947128700801,7,8
"film","includ",0.0514046667551839,7,8
"includ","film",0.0514046667551839,7,8
"music","play",0.0475481840133312,7,8
"play","music",0.0475481840133312,7,8
"star","play",0.0376364867978259,7,8
"play","star",0.0376364867978259,7,8
"music","includ",0.0350866698012704,7,8
"includ","music",0.0350866698012704,7,8
"star","top",0.0343601649517064,7,8
"top","star",0.0343601649517064,7,8
"film","won",0.0328953955247563,7,8
"won","film",0.0328953955247563,7,8
"nomin","play",0.0220725880274944,7,8
"play","nomin",0.0220725880274944,7,8
"won","top",0.021029420989828,7,8
"top","won",0.021029420989828,7,8
"actor","music",0.0170715916387104,7,8
"music","actor",0.0170715916387104,7,8
"star","includ",0.0107129971691749,7,8
"includ","star",0.0107129971691749,7,8
"nomin","top",-0.0028871318327073,7,8
"top","nomin",-0.0028871318327073,7,8
"music","top",-0.0112603454403228,7,8
"top","music",-0.0112603454403228,7,8
"play","won",-0.0170206535524893,7,8
"won","play",-0.0170206535524893,7,8
"music","won",-0.0264139935220223,7,8
"won","music",-0.0264139935220223,7,8
"film","play",-0.027775786274182,7,8
"play","film",-0.027775786274182,7,8
"film","top",-0.0331764354645458,7,8
"top","film",-0.0331764354645458,7,8
"play","top",-0.0407928737833958,7,8
"top","play",-0.0407928737833958,7,8
"actor","top",-0.0502098353313348,7,8
"top","actor",-0.0502098353313348,7,8
"won","includ",-0.0674834183004067,7,8
"includ","won",-0.0674834183004067,7,8
"play","award",-0.068638817845979,7,8
"award","play",-0.068638817845979,7,8
"top","includ",-0.0959001975565227,7,8
"includ","top",-0.0959001975565227,7,8
"play","includ",-0.28378574241469,7,8
"includ","play",-0.28378574241469,7,8
"user","softwar",0.381853190251622,8,8
"softwar","user",0.381853190251622,8,8
"user","net",0.377598084823142,8,8
"net","user",0.377598084823142,8,8
"virus","softwar",0.333076164361713,8,8
"softwar","virus",0.333076164361713,8,8
"site","user",0.323458954307016,8,8
"user","site",0.323458954307016,8,8
"virus","mail",0.316395240495248,8,8
"mail","virus",0.316395240495248,8,8
"virus","user",0.30101009128557,8,8
"user","virus",0.30101009128557,8,8
"virus","secur",0.22315796495973,8,8
"secur","virus",0.22315796495973,8,8
"net","softwar",0.220775076229912,8,8
"softwar","net",0.220775076229912,8,8
"site","net",0.211325744374022,8,8
"net","site",0.211325744374022,8,8
"mail","user",0.209299435565463,8,8
"user","mail",0.209299435565463,8,8
"mail","net",0.180954650960614,8,8
"net","mail",0.180954650960614,8,8
"mail","softwar",0.16418834553989,8,8
"softwar","mail",0.16418834553989,8,8
"user","peopl",0.164003134261807,8,8
"peopl","user",0.164003134261807,8,8
"search","user",0.160506860707281,8,8
"user","search",0.160506860707281,8,8
"mail","site",0.154549689852282,8,8
"site","mail",0.154549689852282,8,8
"site","softwar",0.153706991683623,8,8
"softwar","site",0.153706991683623,8,8
"virus","site",0.146775404036382,8,8
"site","virus",0.146775404036382,8,8
"user","firm",0.142604286836057,8,8
"firm","user",0.142604286836057,8,8
"virus","net",0.139303462951005,8,8
"net","virus",0.139303462951005,8,8
"search","site",0.137625054153065,8,8
"site","search",0.137625054153065,8,8
"search","softwar",0.135363809015256,8,8
"softwar","search",0.135363809015256,8,8
"softwar","firm",0.128648332413764,8,8
"firm","softwar",0.128648332413764,8,8
"virus","firm",0.121618679499946,8,8
"firm","virus",0.121618679499946,8,8
"search","net",0.119730299392345,8,8
"net","search",0.119730299392345,8,8
"site","peopl",0.0977349742553484,8,8
