"item1","item2","correlation","topic","k"
"mobil","phone",0.680933799316497,1,11
"phone","mobil",0.680933799316497,1,11
"digit","technolog",0.427116427468581,1,11
"technolog","digit",0.427116427468581,1,11
"digit","mobil",0.308856191195352,1,11
"mobil","digit",0.308856191195352,1,11
"digit","broadband",0.308685614274691,1,11
"broadband","digit",0.308685614274691,1,11
"download","digit",0.290438368161689,1,11
"digit","download",0.290438368161689,1,11
"mobil","technolog",0.287235656444378,1,11
"technolog","mobil",0.287235656444378,1,11
"broadband","technolog",0.282223538807319,1,11
"technolog","broadband",0.282223538807319,1,11
"phone","network",0.276789460870154,1,11
"network","phone",0.276789460870154,1,11
"digit","phone",0.268803694910603,1,11
"phone","digit",0.268803694910603,1,11
"mobil","network",0.263256035878879,1,11
"network","mobil",0.263256035878879,1,11
"technolog","network",0.260524677082636,1,11
"network","technolog",0.260524677082636,1,11
"download","technolog",0.258240832020516,1,11
"technolog","download",0.258240832020516,1,11
"download","music",0.25246356797916,1,11
"music","download",0.25246356797916,1,11
"digit","music",0.247819469894192,1,11
"music","digit",0.247819469894192,1,11
"broadband","network",0.234795644989659,1,11
"network","broadband",0.234795644989659,1,11
"technolog","phone",0.23079408004053,1,11
"phone","technolog",0.23079408004053,1,11
"download","mobil",0.214300632775976,1,11
"mobil","download",0.214300632775976,1,11
"download","phone",0.21003711433416,1,11
"phone","download",0.21003711433416,1,11
"broadband","servic",0.209673935673604,1,11
"servic","broadband",0.209673935673604,1,11
"digit","network",0.202126714599304,1,11
"network","digit",0.202126714599304,1,11
"download","network",0.192461509895395,1,11
"network","download",0.192461509895395,1,11
"download","broadband",0.187388455273053,1,11
"broadband","download",0.187388455273053,1,11
"phone","servic",0.18652529431275,1,11
"servic","phone",0.18652529431275,1,11
"broadband","phone",0.163881305566546,1,11
"phone","broadband",0.163881305566546,1,11
"servic","network",0.156369044629148,1,11
"network","servic",0.156369044629148,1,11
"mobil","servic",0.15325556900259,1,11
"servic","mobil",0.15325556900259,1,11
"digit","servic",0.135887323307849,1,11
"servic","digit",0.135887323307849,1,11
"download","servic",0.13162916199843,1,11
"servic","download",0.13162916199843,1,11
"technolog","servic",0.122584371988902,1,11
"servic","technolog",0.122584371988902,1,11
"broadband","mobil",0.120677436802827,1,11
"mobil","broadband",0.120677436802827,1,11
"music","mobil",0.0975070688034296,1,11
"mobil","music",0.0975070688034296,1,11
"music","broadband",0.0824456824927546,1,11
"broadband","music",0.0824456824927546,1,11
"music","technolog",0.0572008106620358,1,11
"technolog","music",0.0572008106620358,1,11
"broadband","peopl",0.053338813698803,1,11
"peopl","broadband",0.053338813698803,1,11
"download","peopl",0.049128578625922,1,11
"peopl","download",0.049128578625922,1,11
"music","phone",0.0331956562951314,1,11
"phone","music",0.0331956562951314,1,11
"digit","peopl",0.0260029762108339,1,11
"peopl","digit",0.0260029762108339,1,11
"music","network",0.0238733169585843,1,11
"network","music",0.0238733169585843,1,11
"technolog","peopl",0.00561687481612774,1,11
"peopl","technolog",0.00561687481612774,1,11
"mobil","peopl",3.06818438190048e-05,1,11
"peopl","mobil",3.06818438190048e-05,1,11
"phone","peopl",-0.00900033062492673,1,11
"peopl","phone",-0.00900033062492673,1,11
"network","peopl",-0.0608771289363536,1,11
"peopl","network",-0.0608771289363536,1,11
"music","servic",-0.119863522467865,1,11
"servic","music",-0.119863522467865,1,11
"servic","peopl",-0.153488038234168,1,11
"peopl","servic",-0.153488038234168,1,11
"music","peopl",-0.178332396871818,1,11
"peopl","music",-0.178332396871818,1,11
"economi","econom",0.518476489694504,2,11
"econom","economi",0.518476489694504,2,11
"growth","economi",0.42808116233489,2,11
"economi","growth",0.42808116233489,2,11
"growth","econom",0.381926847788919,2,11
"econom","growth",0.381926847788919,2,11
"rate","growth",0.320768246583267,2,11
"growth","rate",0.320768246583267,2,11
"rate","economi",0.303543598629319,2,11
"economi","rate",0.303543598629319,2,11
"rate","econom",0.298273690914633,2,11
"econom","rate",0.298273690914633,2,11
"bank","growth",0.231836570544564,2,11
"growth","bank",0.231836570544564,2,11
"rise","growth",0.227407027092305,2,11
"growth","rise",0.227407027092305,2,11
"bank","econom",0.22464960925098,2,11
"econom","bank",0.22464960925098,2,11
"rise","rate",0.22411835788699,2,11
"rate","rise",0.22411835788699,2,11
"bank","economi",0.221868181133534,2,11
"economi","bank",0.221868181133534,2,11
"rise","economi",0.203564802071243,2,11
"economi","rise",0.203564802071243,2,11
"rise","econom",0.193008205599177,2,11
"econom","rise",0.193008205599177,2,11
"market","growth",0.1828492724646,2,11
"growth","market",0.1828492724646,2,11
"price","rise",0.177862482937814,2,11
"rise","price",0.177862482937814,2,11
"bank","rate",0.173911462237693,2,11
"rate","bank",0.173911462237693,2,11
"price","growth",0.158638666229757,2,11
"growth","price",0.158638666229757,2,11
