"item1","item2","correlation","topic","k"
"digit","technolog",0.450842632880652,1,7
"technolog","digit",0.450842632880652,1,7
"user","comput",0.393750921415913,1,7
"comput","user",0.393750921415913,1,7
"user","net",0.388228557425467,1,7
"net","user",0.388228557425467,1,7
"technolog","user",0.363478927203283,1,7
"user","technolog",0.363478927203283,1,7
"digit","mobil",0.328939429609742,1,7
"mobil","digit",0.328939429609742,1,7
"technolog","comput",0.326188015103194,1,7
"comput","technolog",0.326188015103194,1,7
"mobil","technolog",0.312056955837124,1,7
"technolog","mobil",0.312056955837124,1,7
"digit","music",0.280100213108276,1,7
"music","digit",0.280100213108276,1,7
"digit","user",0.231793636579293,1,7
"user","digit",0.231793636579293,1,7
"user","servic",0.229254695977824,1,7
"servic","user",0.229254695977824,1,7
"digit","comput",0.219449643644885,1,7
"comput","digit",0.219449643644885,1,7
"technolog","net",0.217450442596126,1,7
"net","technolog",0.217450442596126,1,7
"mobil","user",0.213212332797065,1,7
"user","mobil",0.213212332797065,1,7
"net","comput",0.204975863529474,1,7
"comput","net",0.204975863529474,1,7
"user","peopl",0.198596193685334,1,7
"peopl","user",0.198596193685334,1,7
"servic","net",0.194566626058548,1,7
"net","servic",0.194566626058548,1,7
"mobil","servic",0.190480505647995,1,7
"servic","mobil",0.190480505647995,1,7
"digit","servic",0.181411014323577,1,7
"servic","digit",0.181411014323577,1,7
"technolog","servic",0.179957218673253,1,7
"servic","technolog",0.179957218673253,1,7
"digit","net",0.146438175090048,1,7
"net","digit",0.146438175090048,1,7
"servic","comput",0.131357725327472,1,7
"comput","servic",0.131357725327472,1,7
"music","mobil",0.130492432140882,1,7
"mobil","music",0.130492432140882,1,7
"technolog","peopl",0.128168870581336,1,7
"peopl","technolog",0.128168870581336,1,7
"digit","peopl",0.1222601097566,1,7
"peopl","digit",0.1222601097566,1,7
"mobil","net",0.117634515482608,1,7
"net","mobil",0.117634515482608,1,7
"music","technolog",0.107261911625803,1,7
"technolog","music",0.107261911625803,1,7
"mobil","comput",0.101795305784259,1,7
"comput","mobil",0.101795305784259,1,7
"comput","peopl",0.0956592688349846,1,7
"peopl","comput",0.0956592688349846,1,7
"music","user",0.0885190008911073,1,7
"user","music",0.0885190008911073,1,7
"mobil","peopl",0.0858418064382493,1,7
"peopl","mobil",0.0858418064382493,1,7
"net","peopl",0.0573229872522149,1,7
"peopl","net",0.0573229872522149,1,7
"music","comput",0.0462403378448113,1,7
"comput","music",0.0462403378448113,1,7
"servic","peopl",0.0340037801584951,1,7
"peopl","servic",0.0340037801584951,1,7
"music","net",0.00508923898522567,1,7
"net","music",0.00508923898522567,1,7
"music","peopl",-0.0183159591945401,1,7
"peopl","music",-0.0183159591945401,1,7
"digit","game",-0.0188303315831879,1,7
"game","digit",-0.0188303315831879,1,7
"mobil","game",-0.0264080148874031,1,7
"game","mobil",-0.0264080148874031,1,7
"music","servic",-0.0439804778379869,1,7
"servic","music",-0.0439804778379869,1,7
"game","comput",-0.0510426486528207,1,7
"comput","game",-0.0510426486528207,1,7
"music","game",-0.0553116347023498,1,7
"game","music",-0.0553116347023498,1,7
"game","technolog",-0.0887240305966285,1,7
"technolog","game",-0.0887240305966285,1,7
"game","net",-0.134320358722233,1,7
"net","game",-0.134320358722233,1,7
"game","user",-0.147464864048163,1,7
